                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6036,                 3.0352,                  1.895,                0.00598,                0.94444,                0.44201,                 0.2398,                0.88325,                 2.8131,                 1.3132,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.1015,                 2.1612,                  1.552,                0.83361,                0.28986,                0.49718,                0.28701,                0.93118,                 2.1598,                 1.3211,               0.000398,               0.000398,               0.000398
                      3,                 1.0178,                 1.7766,                 1.4907,                0.52259,                0.52743,                0.58356,                0.35124,                 1.2914,                 1.7061,                 1.7119,             0.00057896,             0.00057896,             0.00057896
                      4,                 1.0012,                  1.613,                 1.4548,                0.38078,                0.52208,                0.43782,                0.17121,                 2.0374,                 3.7688,                 2.4436,             0.00074295,             0.00074295,             0.00074295
                      5,                0.97291,                 1.4764,                  1.435,                0.35538,                 0.5314,                0.40747,                0.18585,                 1.8742,                 3.0353,                 2.3568,             0.00088996,             0.00088996,             0.00088996
                      6,                0.86929,                 1.3765,                 1.3805,                0.71113,                0.44668,                0.39715,                0.20198,                 1.3313,                 2.9077,                 1.7721,                0.00102,                0.00102,                0.00102
                      7,                0.92779,                 1.3751,                 1.3977,                0.22132,                0.43772,                0.19171,                0.07611,                 2.1626,                 3.1542,                 2.5231,              0.0010895,              0.0010895,              0.0010895
                      8,                 0.9232,                 1.3155,                  1.398,                0.36553,                0.38216,                0.27934,                0.11047,                   2.26,                 5.2075,                 2.9324,              0.0010895,              0.0010895,              0.0010895
                      9,                0.90966,                 1.3169,                 1.3736,                0.41505,                0.53677,                0.50922,                 0.3243,                 1.3129,                 2.3037,                 1.6538,              0.0010329,              0.0010329,              0.0010329
                     10,                 0.9325,                 1.2688,                 1.3967,                0.61972,                0.48615,                0.56664,                0.34082,                 1.2089,                 2.7611,                 1.5699,             0.00097629,             0.00097629,             0.00097629
                     11,                0.90841,                 1.2428,                 1.3844,                0.57006,                 0.6589,                0.59007,                0.34645,                  1.008,                 1.3467,                 1.4072,              0.0009197,              0.0009197,              0.0009197
                     12,                 0.8423,                 1.2426,                 1.3508,                0.40606,                  0.627,                0.44326,                0.16382,                 1.7856,                 1.9657,                 1.9472,             0.00086312,             0.00086312,             0.00086312
                     13,                0.83911,                 1.1806,                 1.3163,                0.61937,                0.68612,                0.67684,                0.39996,                 1.0908,                    1.2,                 1.4744,             0.00080653,             0.00080653,             0.00080653
                     14,                0.80181,                 1.1393,                 1.2976,                0.50304,                0.84794,                0.70644,                0.44426,                0.95564,                 1.1353,                 1.3156,             0.00074994,             0.00074994,             0.00074994
                     15,                0.81928,                 1.1091,                 1.3062,                0.62377,                0.74538,                0.69222,                0.42336,                 1.1342,                 1.3842,                 1.4799,             0.00069335,             0.00069335,             0.00069335
                     16,                0.65333,                 1.4066,                 1.2679,                0.88888,                0.71498,                0.75717,                0.61776,                0.63935,                0.85838,                 1.0285,             0.00063676,             0.00063676,             0.00063676
                     17,                0.60791,                 1.1657,                 1.2901,                0.76291,                0.81418,                0.82564,                0.63621,                 0.5795,                0.97498,                0.86469,             0.00058017,             0.00058017,             0.00058017
                     18,                0.57907,                 1.0287,                 1.2046,                0.59806,                0.76452,                0.69657,                 0.5359,                0.72641,                 1.2318,                 1.0169,             0.00052359,             0.00052359,             0.00052359
                     19,                0.58016,                 1.0086,                 1.2237,                0.73946,                0.66805,                0.73224,                0.58214,                 0.6168,                0.97161,                0.93385,               0.000467,               0.000467,               0.000467
                     20,                   0.56,                0.92602,                 1.1807,                0.58964,                0.76959,                0.70409,                0.48443,                0.92029,                 1.4547,                 1.2593,             0.00041041,             0.00041041,             0.00041041
                     21,                0.54137,                0.91001,                  1.213,                0.62102,                0.80556,                 0.7095,                0.53201,                0.70581,                 1.1282,                 1.0027,             0.00035382,             0.00035382,             0.00035382
                     22,                0.50265,                0.86145,                 1.1969,                0.71255,                 0.8196,                0.76899,                0.60963,                0.60619,                0.97098,                0.90045,             0.00029723,             0.00029723,             0.00029723
                     23,                0.51949,                0.87784,                 1.1581,                0.65357,                0.81454,                0.72731,                0.50426,                0.91558,                 1.1033,                 1.2225,             0.00024064,             0.00024064,             0.00024064
                     24,                0.47834,                0.79214,                 1.1341,                0.62208,                0.85853,                0.72233,                0.54199,                0.63957,                0.92907,                0.92562,             0.00018406,             0.00018406,             0.00018406
                     25,                0.46376,                0.78577,                 1.1286,                0.64848,                0.88164,                0.71839,                0.57863,                0.54235,                0.77993,                0.81442,             0.00012747,             0.00012747,             0.00012747
